Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
210962,2021,05/11/2022,Danbury,5-7 IVES ST,741700.0,600000.0,1.236166667,Commercial,Single Family,25 - Other,RATIO TOO HIGH / I14261,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.452630792 41.395911159)
60028,2006,10/31/2006,Oxford,1 WOOD RD,197440.0,312500.0,0.631808,Single Family,Single Family,25 - Other,RATIO TOO HIGH / I14261,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.452630792 41.395911159)
160095,2016,11/16/2016,Torrington,96 RED MTN AVE,65770.0,28312.0,2.323043233,Single Family,Single Family,25 - Other,TTE DEED,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.452630792 41.395911159)
10241,2001,06/03/2002,Plainfield,7 TOM AVE,65300.0,118000.0,0.553389831,Single Family,Single Family,25 - Other,TTE DEED,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-71.89002 41.71619)
190820,2019,09/04/2020,Suffield,864 OVERHILL DR,138740.0,270000.0,0.5139,Single Family,Single Family,07 - Change in Property,FLIP; IMPROVED AFTER ASSESSMENT DATE,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-71.89002 41.71619)
70564,2007,09/12/2008,Shelton,24 SPICEBUSH LN,503860.0,610000.0,0.826,Single Family,Single Family,07 - Change in Property,FLIP; IMPROVED AFTER ASSESSMENT DATE,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-71.89002 41.71619)
90522,2009,06/14/2010,Fairfield,75 SOUTHPORT GREEN,835680.0,810000.0,1.031703704,Condo,Condo,14 - Foreclosure,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-71.89002 41.71619)
200445,2020,06/11/2021,New Canaan,398 VALLEY RD,1154300.0,2250000.0,0.513,Residential,Single Family,14 - Foreclosure,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.47407 41.16973)
160886,2016,08/29/2017,Bristol,1469 FARMINGTON AVE UN 42,121800.0,195000.0,0.624615385,Condo,Condo,14 - Foreclosure,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.47407 41.16973)
200382,2020,01/21/2021,New Haven,132 TOWNSEND AV,119910.0,125000.0,0.9592,Residential,Single Family,10 - A Will,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.89354 41.26087)
30745,2003,03/15/2004,Hartford,109-111 WHITMORE ST,59640.0,140000.0,0.426,Residential,Single Family,10 - A Will,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.6818 41.74455)
15267,2015,07/01/2016,Darien,197 HOYT STREET,458850.0,625000.0,0.73416,Single Family,Single Family,10 - A Will,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.6818 41.74455)
12069,2012,12/18/2012,Darien,17 SUNSET ROAD,1061270.0,1580000.0,0.671689873,Single Family,Single Family,10 - A Will,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.6818 41.74455)
50407,2005,08/04/2006,Avon,12 RIVER VW,120050.0,240000.0,0.500208333,Single Family,Single Family,10 - A Will,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.6818 41.74455)
10110,2001,11/21/2001,Naugatuck,286 MAPLE HL RD,149180.0,255000.0,0.585019608,Single Family,Single Family,10 - A Will,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.6818 41.74455)
140670,2014,08/31/2015,Southington,50 KUHR DR,229460.0,377500.0,0.60784106,Single Family,Single Family,10 - A Will,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.85185 41.60365)
10089,2001,06/21/2002,Willington,254 TURNPIKE RD,38430.0,80000.0,0.480375,Single Family,Single Family,10 - A Will,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.85185 41.60365)
41125,2004,04/29/2005,Hartford,192 BONNER ST,19110.0,68000.0,0.281029412,Single Family,Single Family,10 - A Will,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.85185 41.60365)
110160,2011,07/23/2012,Windham,4 WAYNE DR,20580.0,9000.0,2.286666667,Single Family,Single Family,14 - Foreclosure,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.85185 41.60365)
40144,2004,12/27/2004,Avon,427 WEST AVON RD,193390.0,485000.0,0.398742268,Single Family,Single Family,14 - Foreclosure,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.85185 41.60365)
10131,2001,01/09/2002,Ridgefield,25 BOULDER HL LN,228760.0,560000.0,0.4085,Single Family,Single Family,14 - Foreclosure,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.85185 41.60365)
210930,2021,02/08/2022,Bridgeport,250 NORTH BISHOP AVE UNIT #14,24400.0,60000.0,0.4066,Residential,Condo,14 - Foreclosure,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.155935962 41.196161979)
190255,2019,12/02/2019,Milford,620 WEST AVE,296280.0,625000.0,0.474,Residential,Condo,14 - Foreclosure,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.155935962 41.196161979)
50042,2005,04/20/2006,Sharon,300 LOW RD,143500.0,274000.0,0.523722628,Residential,Condo,14 - Foreclosure,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.155935962 41.196161979)
130124,2013,01/07/2014,Groton,6 PARK PL,1576540.0,2850000.0,0.55317193,Single Family,Single Family,14 - Foreclosure,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.155935962 41.196161979)
130898,2013,05/29/2014,Waterbury,23 RIDGEWOOD ST,41430.0,25000.0,1.6572,Three Family,Three Family,14 - Foreclosure,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.04756 41.56361)
13018,2013,11/19/2013,Marlborough,19 MILLSTONE DRIVE,187740.0,277000.0,0.677761733,Single Family,Single Family,14 - Foreclosure,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.04756 41.56361)
200780,2020,09/22/2021,Trumbull,135 MERRIMAC DR,307020.0,725000.0,0.4234,Residential,Single Family,14 - Foreclosure,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.04756 41.56361)
10500,2001,07/22/2002,Windsor,65 STONEHENGE DR,97160.0,182500.0,0.532383562,Residential,Single Family,14 - Foreclosure,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.04756 41.56361)
200404,2020,11/12/2020,Waterbury,19 PLAZA AVE,27390.0,90000.0,0.3043,Residential,Single Family,14 - Foreclosure,FORECLOSED PROPERTY,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.04756 41.56361)
190260,2019,12/16/2019,Danbury,126 TRIANGLE ST #A-36,41700.0,86000.0,0.4849,Condo,Condo,14 - Foreclosure,RATIO TOO LOW / J14264-36,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.04756 41.56361)
150688,2015,06/07/2016,Ansonia,84 FRANKLIN ST,117600.0,177000.0,0.66440678,Single Family,Single Family,14 - Foreclosure,RATIO TOO LOW / J14264-36,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.08829 41.34974)
190427,2019,03/11/2020,Meriden,1-12 NORTHWOOD PL,24850.0,49000.0,0.5071,Condo,Condo,14 - Foreclosure,RATIO TOO LOW / J14264-36,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.08829 41.34974)
80434,2008,06/25/2009,Milford,1070 NEW HAVEN AVE U73,112010.0,90000.0,1.244555556,Condo,Condo,14 - Foreclosure,RATIO TOO LOW / J14264-36,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.08829 41.34974)
32203,2003,10/22/2003,New Haven,866 CONGRESS AVE,52290.0,125000.0,0.41832,Condo,Condo,14 - Foreclosure,RATIO TOO LOW / J14264-36,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.08829 41.34974)
110213,2011,02/28/2012,Bristol,68 SIGOURNEY ST,120960.0,120000.0,1.008,Single Family,Single Family,14 - Foreclosure,RATIO TOO LOW / J14264-36,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.08829 41.34974)
210435,2021,09/08/2022,New Canaan,59 DOUGLAS RD,594160.0,1100000.0,0.5401,Residential,Single Family,14 - Foreclosure,RATIO TOO LOW / J14264-36,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.491276965 41.133940011)
60661,2006,09/26/2007,Newington,665 NEW BRITAIN AVE,1122870.0,1400000.0,0.80205,Residential,Single Family,25 - Other,RATIO TOO LOW / J14264-36,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.75144 41.6726)
20230,2002,05/29/2003,Ellington,WEST RD,55230.0,120000.0,0.46025,Residential,Single Family,25 - Other,RATIO TOO LOW / J14264-36,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.75144 41.6726)
60097,2006,01/02/2007,Seymour,76 SILVERMINE RD,94290.0,100000.0,0.9429,Single Family,Single Family,14 - Foreclosure,RATIO TOO LOW / J14264-36,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.75144 41.6726)
220805,2022,06/30/2023,Milford,33 GROVE CIR,190170.0,350000.0,0.5433,Residential,Single Family,14 - Foreclosure,RATIO TOO LOW / J14264-36,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.104761007 41.197427018)
1400247,2014,04/30/2015,East Haven,58 HUDSON ST,142270.0,192000.0,0.740989583,Single Family,Single Family,14 - Foreclosure,RATIO TOO LOW / J14264-36,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.86698 41.28519)
30545,2003,04/19/2004,Manchester,226 HENRY ST,94900.0,195000.0,0.486666667,Single Family,Single Family,14 - Foreclosure,RATIO TOO LOW / J14264-36,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.51308 41.78887)
180083,2018,06/18/2019,Thomaston,203 BRANCH RD 10E,92610.0,136500.0,0.6784,Condo,Condo,14 - Foreclosure,RATIO TOO LOW / J14264-36,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.51308 41.78887)
30116,2003,03/02/2004,Oxford,39 WILSON DR,104100.0,295000.0,0.352881356,Condo,Condo,14 - Foreclosure,RATIO TOO LOW / J14264-36,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.10242 41.44106)
190309,2019,02/05/2020,Hamden,545 PINE ROCK AVE,94920.0,178000.0,0.5333,Single Family,Single Family,14 - Foreclosure,RATIO TOO LOW / J14264-36,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.10242 41.44106)
130009,2013,10/18/2013,Cromwell,19 FAWN RUN,289010.0,145000.0,1.993172414,Single Family,Single Family,07 - Change in Property,New Construction,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.10242 41.44106)
111022,2011,04/30/2012,Stratford,1455 JAMES FARM RD,256690.0,325000.0,0.789815385,Single Family,Single Family,07 - Change in Property,New Construction,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.10242 41.44106)
40049,2004,10/22/2004,Southbury,219 BATES ROCK RD,310910.0,595000.0,0.522537815,Single Family,Single Family,07 - Change in Property,New Construction,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.10242 41.44106)
140062,2014,11/21/2014,Windsor,88 COLTON ST,92470.0,72000.0,1.284305556,Single Family,Single Family,15 - Government Agency,New Construction,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.10242 41.44106)
101247,2010,09/28/2011,Stamford,28 POPPY LANE,399490.0,365000.0,1.094493151,Single Family,Single Family,15 - Government Agency,New Construction,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-73.10242 41.44106)
70028,2007,06/18/2008,Chester,5 PINE KNOLL DR,305400.0,409000.0,0.746699267,Single Family,Single Family,25 - Other,SELLER NEEDED TO CLOSE QUICKLY & SOLD TO FRIEND,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.49844 41.39219)
220066,2022,11/03/2022,Wallingford,6 COOPER AVE,150100.0,265000.0,0.5664,Residential,Single Family,25 - Other,SELLER NEEDED TO CLOSE QUICKLY & SOLD TO FRIEND,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.797157985 41.453641011)
11319,2011,06/01/2012,Glastonbury,196 BUTTONBALL LN,219900.0,311000.0,0.707073955,Single Family,Single Family,25 - Other,SELLER NEEDED TO CLOSE QUICKLY & SOLD TO FRIEND,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.797157985 41.453641011)
10510,2001,03/01/2002,Milford,25 CHARLES ST,56000.0,113000.0,0.495575221,Single Family,Single Family,25 - Other,SELLER NEEDED TO CLOSE QUICKLY & SOLD TO FRIEND,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.797157985 41.453641011)
130176,2013,07/16/2014,Ledyard,3 HILL ST,117250.0,48333.0,2.425878799,Single Family,Single Family,06 - Portion of Property,SEE PREVIOUS,SALE OF A FORECLOSED PROPERTY - SEE #1800093,POINT (-72.797157985 41.453641011)
180075,2018,01/02/2019,Plymouth,128 OLD WATERBURY RD,96440.0,47000.0,2.051914894,Single Family,Single Family,25 - Other,SEE PREVIOUS,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
42605,2004,08/04/2005,Stamford,73 CODY DR,187600.0,662500.0,0.283169811,Single Family,Single Family,25 - Other,SEE PREVIOUS,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
17653,2017,07/17/2018,East Hartford,95 ANITA DR.,130900.0,120000.0,1.0908,Single Family,Single Family,25 - Other,seller to asst'd living,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
10091,2010,03/14/2011,Bloomfield,3 SPY GLASS CIRCLE,384370.0,392500.0,0.979286624,Single Family,Single Family,14 - Foreclosure,seller to asst'd living,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
19037,2019,10/22/2019,Newtown,3 OX HILL ROAD,284000.0,648972.0,0.4376,Single Family,Single Family,14 - Foreclosure,seller to asst'd living,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
40597,2004,09/16/2005,New London,21 ROGERS ST,122990.0,247900.0,0.496127471,Single Family,Single Family,14 - Foreclosure,seller to asst'd living,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
60065,2006,11/20/2006,Guilford,7 HARRISON RD,90360.0,208600.0,0.433173538,Single Family,Single Family,14 - Foreclosure,seller to asst'd living,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
800267,2008,03/18/2009,East Hartford,615 OAK STREET,136170.0,187500.0,0.72624,Single Family,Single Family,14 - Foreclosure,seller to asst'd living,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
41429,2004,06/16/2005,Danbury,19 FAITHS LN,194700.0,402000.0,0.484328358,Single Family,Single Family,14 - Foreclosure,seller to asst'd living,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
170105,2017,07/20/2018,Killingworth,38 WOLF HOLLOW LANE,247760.0,372500.0,0.6651,Single Family,Single Family,14 - Foreclosure,seller to asst'd living,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
160020,2016,10/24/2016,Old Saybrook,21 HOMESTEAD ST,171100.0,145000.0,1.18,Single Family,Single Family,18 - In Lieu Of Foreclosure,FLIP/RATIO,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
60141,2006,02/22/2007,Waterford,16 LINDROS LN,107290.0,225000.0,0.476844444,Single Family,Single Family,18 - In Lieu Of Foreclosure,FLIP/RATIO,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
160143,2016,11/14/2016,Stratford,104 SHEPPARD ST,181580.0,237000.0,0.766160338,Single Family,Single Family,18 - In Lieu Of Foreclosure,FLIP/RATIO,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
40507,2004,03/15/2005,Norwich,150 YANTIC ST UT 143,33000.0,75000.0,0.44,Single Family,Single Family,18 - In Lieu Of Foreclosure,FLIP/RATIO,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
10832,2010,04/19/2011,Bridgeport,32 PLEASANT STREET,113840.0,113000.0,1.007433628,Two Family,Two Family,07 - Change in Property,PER MLS NEWLY RENOVATED - GRANTOR BOUGHT FROM BANK AND FLIPPED,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
30186,2003,12/31/2003,Southbury,247 VALLEY STRM LN,168380.0,504900.0,0.333491781,Two Family,Two Family,7.0,PER MLS NEWLY RENOVATED - GRANTOR BOUGHT FROM BANK AND FLIPPED,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
11462,2001,07/16/2002,Norwalk,11 HIGHLAND AVE,353150.0,797500.0,0.442821317,Two Family,Two Family,7.0,PER MLS NEWLY RENOVATED - GRANTOR BOUGHT FROM BANK AND FLIPPED,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
161087,2016,05/05/2017,Stamford,236 WEST BROAD STREET,240920.0,1525000.0,0.157980328,Single Family,Single Family,16 - Charitable Group,MULTIPLE PARCEL SALE FROM EXEMPT ENTITY,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.797157985 41.453641011)
90451,2009,04/19/2010,Norwalk,37 GLENROCK C37,254450.0,295000.0,0.862542373,Condo,Condo,16 - Charitable Group,MULTIPLE PARCEL SALE FROM EXEMPT ENTITY,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.43006 41.14781)
160846,2016,07/13/2017,Danbury,5 NABBY RD #A-40,31400.0,61000.0,0.514754098,Condo,Condo,16 - Charitable Group,L08018-40,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.43006 41.14781)
70080,2007,12/14/2007,Wethersfield,91 HARDING ST,107500.0,70455.0,1.525796608,Single Family,Single Family,08 - Part Interest,L08018-40,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.43006 41.14781)
50736,2005,03/01/2006,Norwalk,1 WALTER AVE,71750.0,170000.0,0.422058824,Single Family,Single Family,08 - Part Interest,L08018-40,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.43006 41.14781)
50353,2005,12/27/2005,New Britain,138 BLAKE RD,80430.0,72500.0,1.10937931,Single Family,Single Family,8,L08018-40,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.43006 41.14781)
30605,2003,01/15/2004,Danbury,36 MILL PLN RD 208,57300.0,85000.0,0.674117647,Single Family,Single Family,8,L08018-40,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.53755 41.388)
140021,2014,10/16/2014,New Canaan,61 JUNIPER ROAD,744240.0,994000.0,0.748732394,Single Family,Single Family,25 - Other,This was a short sale,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.53755 41.388)
130069,2013,11/18/2013,Branford,27 SEVENTH AVE,194000.0,308000.0,0.62987013,Single Family,Single Family,25 - Other,This was a short sale,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.79099 41.26396)
210388,2021,07/21/2022,Simsbury,7 GRIMES BROOK PLACE,174070.0,390000.0,0.4463,Residential,Single Family,25 - Other,This was a short sale,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.818443995 41.891739998)
40384,2004,09/14/2005,Plainville,22 ROSELEAH AVE,65420.0,175000.0,0.373828571,Residential,Single Family,25 - Other,This was a short sale,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.87278 41.66294)
80191,2008,12/15/2008,New Haven,88 LAWNCREST RD,149590.0,105000.0,1.424666667,Single Family,Single Family,01 - Family,This was a short sale,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.87278 41.66294)
50348,2005,12/20/2005,Milford,125 MIDWOOD RD,118230.0,328000.0,0.360457317,Single Family,Single Family,01 - Family,This was a short sale,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.87278 41.66294)
30835,2003,07/13/2004,East Hartford,78 BURNBROOK RD,90950.0,180000.0,0.505277778,Single Family,Single Family,01 - Family,This was a short sale,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.87278 41.66294)
70165,2007,12/27/2007,Groton,43 D ST,21630.0,10000.0,2.163,Single Family,Single Family,22 - Money and Personal Property,MOBILE HOME,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.87278 41.66294)
20151,2002,11/04/2002,Hartford,47-49 BUDWELL ST,56350.0,138000.0,0.408333333,Single Family,Single Family,22 - Money and Personal Property,MOBILE HOME,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.67409 41.73899)
110347,2011,06/21/2012,Middletown,69 SONOMA LA,239970.0,320000.0,0.74990625,Condo,Condo,22 - Money and Personal Property,MOBILE HOME,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.67409 41.73899)
160094,2016,11/08/2016,Greenwich,92 GREENWICH HILLS 92,601370.0,748000.0,0.803970588,Condo,Condo,07 - Change in Property,property changes picked up by assessor after sale,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.67409 41.73899)
210473,2021,01/04/2022,Danbury,106 CAROL ST,121200.0,250500.0,0.4838,Residential,Single Family,07 - Change in Property,H22087,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.457450035 41.352508991)
140024,2014,01/13/2015,Salisbury,17 SPRUCE DR,947300.0,1295000.0,0.731505792,Single Family,Single Family,07 - Change in Property,H22087,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.457450035 41.352508991)
120255,2012,09/13/2013,Rocky Hill,110 SUNSET RIDGE,204330.0,290000.0,0.704586207,Single Family,Single Family,07 - Change in Property,H22087,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.457450035 41.352508991)
15068,2015,12/15/2015,Watertown,895 BUNKER HILL RD,144700.0,185000.0,0.782162162,Single Family,Single Family,07 - Change in Property,H22087,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.457450035 41.352508991)
200044,2020,10/13/2020,Meriden,75 LIVE OAK LA,135660.0,215000.0,0.6309,Residential,Single Family,07 - Change in Property,H22087,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.7912 41.52723)
20983,2002,09/25/2003,East Hartford,92 LANGFORD LN,229890.0,325000.0,0.707353846,Residential,Single Family,07 - Change in Property,H22087,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.7912 41.52723)
31113,2003,09/27/2004,Middletown,811 WESTFIELD ST,124170.0,213000.0,0.582957746,Residential,Single Family,07 - Change in Property,H22087,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.7912 41.52723)
40686,2004,06/06/2005,Torrington,616 MIGEON AVE UT 12,21300.0,64000.0,0.3328125,Residential,Single Family,07 - Change in Property,H22087,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.7912 41.52723)
211466,2021,04/29/2022,Bridgeport,420 BEECHWOOD AVE,164393.0,425000.0,0.386807059,Residential,Single Family,07 - Change in Property,H22087,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.21200201 41.178622009)
10011,2001,10/16/2001,Brooklyn,285 SOUTH ST,71640.0,118900.0,0.602523129,Residential,Single Family,07 - Change in Property,H22087,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.21200201 41.178622009)
211467,2021,08/31/2022,Danbury,55 CROSS ST B5,107400.0,285000.0,0.3768,Residential,Condo,07 - Change in Property,K13133-14,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.428082025 41.397567001)
120504,2012,05/21/2013,West Hartford,60 CASSANDRA BOULEVARD UNIT 10,179060.0,272000.0,0.658308824,Condo,Condo,07 - Change in Property,K13133-14,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.428082025 41.397567001)
50125,2005,07/21/2006,Bethany,51 RALPH RD,215130.0,422500.0,0.509183432,Condo,Condo,07 - Change in Property,K13133-14,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.428082025 41.397567001)
150008,2015,10/05/2015,Cromwell,5 SCHOOL STREET,134580.0,210000.0,0.640857143,Single Family,Single Family,07 - Change in Property,K13133-14,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.428082025 41.397567001)
40329,2004,05/23/2005,Wethersfield,101 MAPLESIDE DR,102000.0,152000.0,0.671052632,Single Family,Single Family,07 - Change in Property,K13133-14,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.428082025 41.397567001)
130964,2013,09/11/2014,Danbury,6 ROSE LANE #3-17,91100.0,138000.0,0.660144928,Condo,Condo,07 - Change in Property,I09212-17,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.428082025 41.397567001)
20023,2002,10/29/2002,Brooklyn,73 CHRISTIAN HL RD,165790.0,293909.0,0.564086163,Condo,Condo,07 - Change in Property,I09212-17,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.428082025 41.397567001)
80095,2008,05/22/2009,Clinton,19 FOX HILL DR,246000.0,344000.0,0.715116279,Single Family,Single Family,07 - Change in Property,I09212-17,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.428082025 41.397567001)
22055,2022,07/05/2023,Ashford,119 HOWARD RD,160090.0,345000.0,0.464,Residential,Single Family,07 - Change in Property,I09212-17,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.209699979 41.835966982)
90063,2009,12/21/2009,East Lyme,11 HARVEST GLEN,104020.0,140000.0,0.743,Residential,Single Family,07 - Change in Property,I09212-17,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.209699979 41.835966982)
175593,2017,02/23/2018,West Haven,425 MELOY RD,24500.0,50000.0,0.49,Residential,Single Family,07 - Change in Property,I09212-17,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.209699979 41.835966982)
160010,2016,10/19/2016,Wolcott,71 LAUREL LN,101150.0,180000.0,0.561944444,Single Family,Single Family,07 - Change in Property,FLIP,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.209699979 41.835966982)
80259,2008,02/17/2009,New Britain,30 CONNECTICUT AVE,146020.0,73500.0,1.986666667,Two Family,Two Family,08 - Part Interest,FLIP,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.209699979 41.835966982)
140609,2014,06/08/2015,Killingly,199 HARTFORD PIKE,95340.0,208000.0,0.458365385,Single Family,Single Family,08 - Part Interest,FLIP,BELOW MARKET - PURCHASE TO FLIP,POINT (-72.209699979 41.835966982)
40353,2004,04/22/2005,Trumbull,1809 HUNTINGTON TPKE,191600.0,470000.0,0.407659574,Single Family,Single Family,6,FLIP,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.16176 41.24327)
800088,2008,11/25/2008,Enfield,4 LONG HOLLOW RD,243460.0,262350.0,0.927996951,Single Family,Single Family,01 - Family,FLIP,BELOW MARKET - PURCHASE TO FLIP,POINT (-73.16176 41.24327)
